Company_Phone_Number,Created_Date,Violation_Date,Consumer_City,Consumer_State,Consumer_Area_Code,Subject,Recorded_Message_Or_Robocall, Area_Code, Prefix, Day_of_Week, Time
5715282002,2019-12-13 09:48:40,2019-12-13 09:41:00,Haymarket,Virginia,571,Other,N,571,528,4,9.68
8552787361,2019-12-13 09:50:28,2019-12-13 09:45:00,,Virginia,804,Other,Y,855,278,4,9.75
7038766598,2019-12-13 09:52:35,2019-12-13 09:34:00,,Virginia,703,No Subject Provided,Y,703,876,4,9.57
5712121522,2019-12-13 09:54:07,2019-12-13 09:40:00,Fairfax,Virginia,571,Home improvement  & cleaning,N,571,212,4,9.67
2766243803,2019-12-13 09:58:48,2019-12-13 09:45:00,Hillsville,Virginia,276,Other,Y,276,624,4,9.75
5402158097,2019-12-13 10:04:23,2019-12-13 09:51:00,Linden,Virginia,540,Warranties  & protection plans,N,540,215,4,9.85
2023010671,2019-12-13 10:04:47,2019-12-13 00:00:00,Williamsburg,Virginia,757,"Calls pretending to be government, businesses, or family and friends",N,202,301,4,0.00
7143865971,2019-12-13 10:06:28,2019-12-13 09:46:00,,Virginia,805,"Calls pretending to be government, businesses, or family and friends",Y,714,386,4,9.77
9862000928,2019-12-13 10:09:32,2019-12-13 09:45:00,Mechanicsville,Virginia,804,"Calls pretending to be government, businesses, or family and friends",Y,986,200,4,9.75
7248621502,2019-12-13 10:09:48,2019-12-13 07:57:00,,Virginia,703,"Calls pretending to be government, businesses, or family and friends",Y,724,862,4,7.95
4174441190,2019-12-13 10:11:31,2019-12-13 05:58:00,Luray,Virginia,703,No Subject Provided,Y,417,444,4,5.97
9862000924,2019-12-13 10:11:33,2019-12-13 10:10:00,,Virginia,703,"Calls pretending to be government, businesses, or family and friends",Y,986,200,4,10.17
4079144006,2019-12-13 10:12:41,2019-12-13 09:45:00,Luray,Virginia,703,No Subject Provided,Y,407,914,4,9.75
2155830351,2019-12-13 10:13:47,2019-12-13 09:46:00,Luray,Virginia,703,No Subject Provided,Y,215,583,4,9.77
4079144006,2019-12-13 10:14:57,2019-12-13 09:51:00,Luray,Virginia,703,No Subject Provided,Y,407,914,4,9.85
4079144006,2019-12-13 10:16:11,2019-12-13 09:59:00,Luray,Virginia,703,No Subject Provided,Y,407,914,4,9.98
5092844252,2019-12-13 10:16:39,2019-12-13 09:59:00,,Virginia,703,"Calls pretending to be government, businesses, or family and friends",Y,509,284,4,9.98
5088888222,2019-12-13 10:17:09,2019-12-13 10:05:00,Luray,Virginia,703,No Subject Provided,Y,508,888,4,10.08
9862000924,2019-12-13 10:17:51,2019-12-13 10:15:00,Arlington,Virginia,703,"Calls pretending to be government, businesses, or family and friends",Y,986,200,4,10.25
9376715940,2019-12-13 10:18:16,2019-12-13 10:09:00,Luray,Virginia,703,No Subject Provided,Y,937,671,4,10.15
9722174132,2019-12-13 10:18:23,2019-12-13 10:16:00,,Virginia,502,Medical  & prescriptions,N,972,217,4,10.27
5092844252,2019-12-13 10:18:34,2019-12-13 09:59:00,,Virginia,703,"Calls pretending to be government, businesses, or family and friends",Y,509,284,4,9.98
2105918443,2019-12-13 10:18:55,2019-12-13 10:15:00,,Virginia,703,"Calls pretending to be government, businesses, or family and friends",Y,210,591,4,10.25
7033501624,2019-12-13 10:20:00,2019-12-13 09:45:00,Fairfax,Virginia,703,No Subject Provided,Y,703,350,4,9.75
4845546593,2019-12-13 10:21:44,2019-12-13 10:19:00,Luray,Virginia,703,No Subject Provided,Y,484,554,4,10.32
5402690327,2019-12-13 10:23:38,2019-12-13 10:16:00,King George,Virginia,540,"Calls pretending to be government, businesses, or family and friends",Y,540,269,4,10.27
7578370186,2019-12-13 10:27:56,2019-12-13 10:15:00,Richmond,Virginia,804,No Subject Provided,Y,757,837,4,10.25
8335706377,2019-12-13 10:30:18,2019-12-13 10:25:00,North Chesterfield,Virginia,804,"Calls pretending to be government, businesses, or family and friends",Y,833,570,4,10.42
7577760746,2019-12-13 10:31:03,2019-12-13 08:59:00,Richmond,Virginia,804,No Subject Provided,N,757,776,4,8.98
7071393946,2019-12-13 10:31:41,2019-12-13 10:30:00,,Virginia,804,No Subject Provided,Y,707,139,4,10.50
3047712895,2019-12-13 10:32:15,2019-12-13 10:27:00,Luray,Virginia,703,No Subject Provided,Y,304,771,4,10.45
7248621502,2019-12-13 10:32:44,2019-12-13 10:08:00,,Virginia,703,"Calls pretending to be government, businesses, or family and friends",Y,724,862,4,10.13
8559133100,2019-12-13 10:33:13,2019-12-13 10:29:00,Luray,Virginia,703,No Subject Provided,Y,855,913,4,10.48
4342292393,2019-12-13 10:33:16,2019-12-13 10:32:00,,Virginia,434,Warranties  & protection plans,Y,434,229,4,10.53
8888880065,2019-12-13 10:36:03,2019-12-13 10:16:00,VIRGINIA BEACH,Virginia,757,"Calls pretending to be government, businesses, or family and friends",Y,888,888,4,10.27
8042075291,2019-12-13 10:38:29,2019-12-13 10:10:00,Stafford,Virginia,703,"Calls pretending to be government, businesses, or family and friends",Y,804,207,4,10.17
8952832070,2019-12-13 10:39:23,2019-12-13 10:34:00,,Virginia,804,Other,Y,895,283,4,10.57
7577130149,2019-12-13 10:45:49,2019-12-13 10:24:00,,Virginia,276,No Subject Provided,N,757,713,4,10.40
6673007883,2019-12-13 10:46:01,2019-12-11 14:00:00,Charlottesville,Virginia,434,"Calls pretending to be government, businesses, or family and friends",Y,667,300,2,14.00
