Company_Phone_Number,Created_Date,Violation_Date,Consumer_City,Consumer_State,Consumer_Area_Code,Subject,Recorded_Message_Or_Robocall
8004900561,2019-12-13 00:35:01,2019-12-11 15:58:00,Aspen,Colorado,970,No Subject Provided,Y
3039205211,2019-12-13 00:35:23,2019-12-12 13:00:00,Smyrna,Georgia,303,"Reducing your debt (credit cards, mortgage, student loans)",Y
7207708050,2019-12-13 00:36:09,2019-12-11 20:03:00,Aspen,Colorado,970,No Subject Provided,Y
8602893940,2019-12-13 00:36:17,2019-12-12 11:54:00,Pawcatuck,Connecticut,860,No Subject Provided,N
3105886661,2019-12-13 00:36:40,2019-12-12 12:44:00,San Jose,California,408,No Subject Provided,Y
8008858795,2019-12-13 00:37:04,2019-12-12 15:38:00,Aspen,Colorado,970,No Subject Provided,Y
2034090839,2019-12-13 00:37:42,2019-12-12 15:55:00,Pawcatuck,Connecticut,860,No Subject Provided,N
7205836596,2019-12-13 00:38:44,2019-12-10 09:18:00,Aspen,Colorado,970,No Subject Provided,Y
8604130818,2019-12-13 00:39:25,2019-12-12 17:44:00,Pawcatuck,Connecticut,860,No Subject Provided,N
5595672035,2019-12-13 00:39:34,2019-12-06 16:56:00,Kerman,California,559,Dropped call or no message,N
8604590966,2019-12-13 00:39:55,2019-12-12 18:15:00,Houston,Texas,713,Dropped call or no message,Y
2107147749,2019-12-13 00:40:10,2019-12-11 09:14:00,San Antonio,Texas,210,Warranties  & protection plans,N
8448179171,2019-12-13 00:40:48,2019-12-12 18:13:00,Pawcatuck,Connecticut,860,No Subject Provided,N
6504502519,2019-12-13 00:41:10,2019-12-12 07:37:00,,California,650,Other,Y
7852382314,2019-12-13 00:42:07,2019-12-09 15:00:00,Junction City,Kansas,785,No Subject Provided,Y
+12136893348,2019-12-13 00:10:59,2019-12-13 00:10:59,,Nevada,702,No Subject Provided,Y
+15122509532,2019-12-13 00:11:52,2019-12-13 00:11:52,,Texas,512,No Subject Provided,Y
+14108122239,2019-12-13 00:13:29,2019-12-13 00:13:29,,Maryland,410,No Subject Provided,Y
3059951000,2019-12-13 00:15:42,2019-12-13 00:15:42,,Florida,305,No Subject Provided,Y
+18184169290,2019-12-13 00:29:10,2019-12-13 00:29:10,,California,510,No Subject Provided,Y
+17184071941,2019-12-13 00:31:26,2019-12-13 00:31:26,,District of Columbia,202,No Subject Provided,Y
+17186750483,2019-12-13 00:33:53,2019-12-13 00:33:53,,District of Columbia,202,No Subject Provided,Y
6266646468,2019-12-13 00:34:29,2019-12-13 00:34:29,,New York,646,No Subject Provided,Y
